11 10	11.00 10.00
11 8	11.00 8.00
11 13	11.00 13.00
10 14	10.00 14.00
10 6	10.00 6.00
9 8	9.00 8.00
6 5	6.00 5.00
8 8	8.00 8.00




5 6 8	5.00 6.00 8.00
6 5 12	6.00 5.00 12.00
11 15 3	11.00 15.00 3.00
12 3 10	12.00 3.00 10.00
4 3 6	4.00 3.00 6.00




7 16 15 13 11 7 6 5 16 9	7.00 16.00 15.00 13.00 11.00 7.00 6.00 5.00 16.00 9.00
9 4 12 6 10 8 10 7 0 6	9.00 4.00 12.00 6.00 10.00 8.00 10.00 7.00 0.00 6.00




3 4 17 13 5 5 9	3.00 4.00 17.00 13.00 5.00 5.00 9.00
8 8 9 9 14 3 2	8.00 8.00 9.00 9.00 14.00 3.00 2.00
8 8 13 12 3 9 6	8.00 8.00 13.00 12.00 3.00 9.00 6.00
6 11 0 10 13 7 15	6.00 11.00 0.00 10.00 13.00 7.00 15.00
14 5 10 11 5 12 10	14.00 5.00 10.00 11.00 5.00 12.00 10.00
5 11 7 12 14 10 9	5.00 11.00 7.00 12.00 14.00 10.00 9.00
13 11 9 6 16 14 9	13.00 11.00 9.00 6.00 16.00 14.00 9.00
15 7 15 14 8 9 11	15.00 7.00 15.00 14.00 8.00 9.00 11.00




9 7	9.00 7.00
9 4	9.00 4.00
0 3	0.00 3.00
13 16	13.00 16.00




17 14 3 15 5 8 12	17.00 14.00 3.00 15.00 5.00 8.00 12.00
16 14 8 12 6 6 9	16.00 14.00 8.00 12.00 6.00 6.00 9.00
10 11 13 10 9 10 14	10.00 11.00 13.00 10.00 9.00 10.00 14.00




4 3 6 10 3	4.00 3.00 6.00 10.00 3.00
12 6 6 8 6	12.00 6.00 6.00 8.00 6.00
15 13 14 8 8	15.00 13.00 14.00 8.00 8.00
9 16 14 9 8	9.00 16.00 14.00 9.00 8.00
15 7 15 8 7	15.00 7.00 15.00 8.00 7.00
12 7 3 13 12	12.00 7.00 3.00 13.00 12.00




2 7 7	2.00 7.00 7.00
8 13 8	8.00 13.00 8.00
8 6 14	8.00 6.00 14.00
11 11 11	11.00 11.00 11.00
10 10 2	10.00 10.00 2.00
2 4 11	2.00 4.00 11.00




8 13 7 8 10 12 16	8.00 13.00 7.00 8.00 10.00 12.00 16.00
15 14 11 4 5 18 7	15.00 14.00 11.00 4.00 5.00 18.00 7.00
9 10 9 2 7 11 8	9.00 10.00 9.00 2.00 7.00 11.00 8.00
12 7 4 14 2 11 17	12.00 7.00 4.00 14.00 2.00 11.00 17.00
8 9 7 6 15 11 5	8.00 9.00 7.00 6.00 15.00 11.00 5.00
10 11 6 10 9 3 8	10.00 11.00 6.00 10.00 9.00 3.00 8.00




13 6 6 15 9 7	13.00 6.00 6.00 15.00 9.00 7.00
8 8 10 14 15 16	8.00 8.00 10.00 14.00 15.00 16.00
5 13 8 11 5 3	5.00 13.00 8.00 11.00 5.00 3.00
15 13 11 6 8 16	15.00 13.00 11.00 6.00 8.00 16.00
5 5 7 14 11 15	5.00 5.00 7.00 14.00 11.00 15.00
1 12 8 8 12 7	1.00 12.00 8.00 8.00 12.00 7.00
13 0 6 11 7 5	13.00 0.00 6.00 11.00 7.00 5.00




0.18181818181818188 0.0909090909090909 -0.18181818181818182	0.18 0.09 -0.18
0.03030303030303032 -0.15151515151515155 0.2196969696969697	0.03 -0.15 0.22
-0.2424242424242425 0.21212121212121215 -0.007575757575757551	-0.24 0.21 -0.01




-0.2972433693516702 -0.11167730844793723 -0.17835216110019672 0.2299852652259334 0.09629788801571706 -0.17457637524557967 0.37088654223968615	-0.30 -0.11 -0.18 0.23 0.10 -0.17 0.37
-0.17535916011787836 -0.08622912573673878 -0.16217460707269177 0.188298133595285 -0.09634393418467586 -0.13232134086444006 0.3998956286836939	-0.18 -0.09 -0.16 0.19 -0.10 -0.13 0.40
-0.53431974459725 -0.12856090373280962 -0.496684675834971 0.43737721021611026 0.016024066797642365 -0.19959479371316324 0.7678045186640481	-0.53 -0.13 -0.50 0.44 0.02 -0.20 0.77
-0.10486247544204332 0.06335952848722982 -0.0417485265225934 0.010805500982318304 -0.03511787819253439 -0.06065815324165031 0.18320235756385087	-0.10 0.06 -0.04 0.01 -0.04 -0.06 0.18
0.1530114194499016 0.165305746561886 0.07131016699410597 0.3058079567779962 -0.009500859528487202 -0.32322875736738704 -0.29527873280943007	0.15 0.17 0.07 0.31 -0.01 -0.32 -0.30
0.9129113457760324 0.24085216110019686 0.868430746561887 -0.8203585461689593 0.07241527504911603 0.6478082023575641 -1.516760805500984	0.91 0.24 0.87 -0.82 0.07 0.65 -1.52
0.21439096267190613 -0.06630648330058923 0.11345776031434224 -0.47642436149312406 0.04837917485265227 0.44720039292730857 -0.16846758349705374	0.21 -0.07 0.11 -0.48 0.05 0.45 -0.17




-0.25000000000000006 0.5000000000000001	-0.25 0.50
1.2500000000000002 -1.5000000000000004	1.25 -1.50




-0.3289582569875842 -0.09997209595524148 0.36794332435842375 -0.028584401804965697 -0.10450184640676867 -0.40101247604042184 0.4993149400247468 0.2789262862925485 -0.29374659844530404	-0.33 -0.10 0.37 -0.03 -0.10 -0.40 0.50 0.28 -0.29
0.5452243785817188 0.30032848575095555 -0.8410848974567858 -0.033124111400028675 0.21395744457967172 0.8186165163542973 -0.9237948468071635 -0.03505876724614772 0.4085124488372057	0.55 0.30 -0.84 -0.03 0.21 0.82 -0.92 -0.04 0.41
0.5861743480864523 0.25025594076744073 -0.8601232757541151 0.013099777892656359 0.28438574123599986 0.8667874182082289 -0.8742610177175014 -0.2721086992565502 0.45144189033396903	0.59 0.25 -0.86 0.01 0.28 0.87 -0.87 -0.27 0.45
-0.4880384231134758 -0.30700775134895686 0.9003351620656965 -0.01239673613046335 -0.21832711102029043 -0.8525369903800208 0.8967633336794445 0.19966957774891292 -0.5068150972501148	-0.49 -0.31 0.90 -0.01 -0.22 -0.85 0.90 0.03 -0.51
0.18965602778084656 0.21831586087666652 -0.4893148533433122 0.03531420083498198 0.28668427467834273 0.42094902154181196 -0.5058444496125432 -0.15492406798554015 0.31668250600822234	0.19 0.22 -0.49 0.04 0.29 0.42 -0.51 -0.15 0.32
0.19554741446801685 0.08875404290509704 -0.2107764203629078 0.03701020609340978 -0.07441877792825093 0.3136685740885588 -0.30255712075996405 -0.06524677558895897 0.07187347904052148	0.20 0.09 -0.21 0.04 -0.07 0.31 -0.30 -0.07 0.07
-0.8511653950008425 -0.5210651562211546 1.168971624371353 0.07314935598460601 -0.3209243634401318 -1.1689127916530582 1.3767119813845172 0.27929920088938887 -0.5730611069071644	-0.85 -0.52 1.17 0.07 -0.32 -1.17 1.38 0.28 -0.57
-0.08541606996335224 -0.011860417808202791 0.1409963901793255 -0.09759222950735622 0.023193923151928746 -0.10303158173515212 0.11140463944857334 0.022005649785242155 0.018175805809979892	-0.09 -0.01 0.14 -0.10 0.02 -0.10 0.11 0.02 0.02
0.40470436743485494 0.19451424554047086 -0.3755915777367406 0.035238585115543626 -0.029969460470776043 0.3533092850755044 -0.4720632191677368 -0.223733081674383 0.20406524861987488	0.40 0.19 -0.38 0.04 -0.03 0.35 -0.47 -0.22 0.20




0.5589341692789915 0.4670846394984283 0.5065830721003096 -0.46379310344827246 -0.23338557993730175 -1.1354231974921523 0.449999999999996	0.56 0.47 0.51 -0.46 -0.23 -1.14 0.45
0.3611285266457633 0.5642633228840083 0.48714733542319383 -0.320689655172411 -0.2705329153604992 -1.0213166144200534 0.29999999999999666	0.36 0.56 0.49 -0.32 -0.27 -1.02 0.30
-0.03404388714733259 -0.4219435736677089 -0.2756112852664557 0.23413793103448113 0.0877429467084626 0.4697178683385523 0.010000000000002153	-0.03 -0.42 -0.28 0.23 0.09 0.47 0.01
1.9840125391849337 2.0062695924764724 1.7987460815046874 -1.3568965517241263 -0.900783699059552 -4.431347962382406 1.3499999999999865	1.98 2.01 1.80 -1.36 -0.90 -4.43 1.35
-2.6244514106582844 -2.2257053291535858 -2.1548589341692614 1.6482758620689515 1.22821316614419 5.328526645767979 -1.799999999999984	-2.62 -2.23 -2.15 1.65 1.23 5.33 -1.80
0.20106583072100168 0.13291536050156616 0.21341692789968536 -0.07620689655172323 -0.10661442006269523 -0.30457680250783403 0.009999999999998996	0.20 0.13 0.21 -0.08 -0.11 -0.30 0.01
-0.2099059561128489 -0.3529780564263291 -0.48940438871473063 0.30827586206896324 0.17912225705328977 0.7248902821316539 -0.13999999999999743	-0.21 -0.35 -0.49 0.31 0.18 0.72 -0.14




0.35294117647058826 -0.058823529411764684	0.35 -0.06
-0.411764705882353 0.23529411764705882	-0.41 0.24




0.33653846153846156 -0.17307692307692307 0.028846153846153855	0.34 -0.17 0.03
-0.1346153846153846 0.2692307692307692 -0.2115384615384615	-0.13 0.27 -0.21
0.01923076923076923 -0.03846153846153846 0.17307692307692307	0.02 -0.04 0.17




-0.3218226740090968 0.35245336954375234 -0.2722532302168315 0.03513630688458958 0.15953929488742227 -0.31124772210775997 0.06114013933978597 0.6748096154872869 0.018679520422071782	-0.32 0.35 -0.27 0.04 0.16 -0.31 0.06 0.67 0.02
0.3905259837846451 -0.3005108868186398 0.23771299726342027 -0.10704887441730022 -0.008751351619080406 0.12411652945173413 -0.16498897584849953 -0.32838398996880475 -0.18735182577659537	0.39 -0.30 0.24 -0.11 -0.01 0.12 -0.16 -0.33 -0.19
-0.3189248541602208 0.3289343934872703 -0.12582230864579502 0.05570793320798628 0.18726959759220418 -0.4432332851113808 0.13300156887516354 0.49815645911501016 0.0798141921772372	-0.32 0.33 -0.13 0.06 0.19 -0.44 0.13 0.50 0.08
-0.1159007867103816 0.13666602985386964 0.11806466372960887 -0.017970342534527794 0.1495043473730185 -0.17129084955758656 -0.007418761877255491 -0.07933379518342248 0.07406733191090366	-0.12 0.14 0.12 -0.02 0.15 -0.17 -0.01 -0.08 0.07
-0.0708963472460849 -0.04724014553638176 -0.02588858434799911 0.13507153208796766 -0.0463577202616464 0.07813735901940252 0.031188925203656823 -0.06490076548328831 0.07978696146167621	-0.07 -0.05 -0.03 0.14 -0.05 0.08 0.03 -0.06 0.08
0.15057835252455537 -0.07893369663825013 0.015706655294090648 0.007727626804544138 -0.15894943899365557 0.27264807559246623 -0.04631998320701072 -0.1599404655080104 -0.09464656996975244	0.15 -0.08 0.02 0.01 -0.16 0.27 -0.05 -0.16 -0.09
-0.029034375240547007 -0.07423221710985185 -0.06304135788214507 -0.007187944040236266 -0.16629787272363541 0.1428360382868148 0.08202738466559076 0.08993394085703005 0.0654925511128036	-0.03 -0.07 -0.06 -0.01 -0.17 0.14 0.08 0.09 0.07
0.2338792555765611 -0.19585509914446225 0.13300982385586502 -0.08138531869907509 0.003892277004561346 0.21021469167861476 -0.02797880978616174 -0.43968750288120256 -0.08543433312942458	0.23 -0.20 0.13 -0.08 0.00 0.21 -0.03 -0.44 -0.09
0.0028195583435234378 0.11030155122880206 -0.014016528401100284 -0.02918853968533729 0.07359626197320622 -0.12287163547892066 -0.043656840666650785 -0.014279615708134808 0.08612067581061228	0.00 0.11 -0.01 -0.03 0.07 -0.12 -0.04 -0.01 0.09




